state,medical,recreational,mml_effect,mml_retail,rml_effect,rml_retail,mml_retail_cite,rml_retail_cite,mml_cite_act,rml_cite_act,,,,,,
Alabama,2026,-,5/17/21,1/8/26,-,-,https://amcc.alabama.gov/patients/,-,Act 2021-450 (SB 46) (2021); Darren Wesley ‘Ato’ Hall Compassion Act,-,,,,,,
Alaska,2016,2016,3/4/99,10/29/16,2/24/15,10/29/16,https://mrcannabislaw.com/alaska/,https://time.com/4550501/alaska-pot-marijuana-shop-herbal-outfitters/,Ballot Measure 8 (1998); AS 17.37.010,Ballot Measure 2 (2014); AS 17.38,,,,,,
Arizona,2012,2021,4/14/11,12/6/12,11/30/20,1/22/21,https://www.kjzz.org/2012-12-06/content-2848-first-arizona-medical-marijuana-dispensary-opens,https://www.pbs.org/newshour/economy/arizona-launches-legal-marijuana-sales-with-dozens-of-licenses-for-dispensaries,Proposition 203 (2010); Arizona Medical Marijuana Act,Proposition 207 (2020) (Smart and Safe Arizona Act),,,,,,
Arkansas,2019,-,11/9/16,5/11/19,-,-,https://apnews.com/article/marijuana-us-news-arkansas-medical-marijuana-ar-state-wire-94ad1c34506b4c22b1868011de720bca,-,Issue 6 (2016); Arkansas Medical Marijuana Amendment,,,,,,,
California,2018,2018,11/6/96,1/1/18,11/9/16,1/1/18,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB94,https://www.cannabis.ca.gov/cannabis-laws/laws-and-regulations/,Proposition 215 (1996); Compassionate Use Act of 1996,Proposition 64 (2016) (Adult Use of Marijuana Act),,,,,,
Colorado,2011,2014,6/1/01,10/26/11,12/10/12,1/1/14,https://sensiblecolorado.org/history-of-co-medical-marijuana-laws/,https://www.newsfromthestates.com/article/fifty-150-worlds-first-recreational-marijuana-sales-begin-colorado-2014,"Amendment 20 (2000); CO Const. Art. XVIII, § 14",Amendment 64 (2012) (Governor's Proclamation date),,,,,,
Connecticut,2014,2023,10/1/12,8/20/14,7/1/21,1/10/23,https://www.nbcconnecticut.com/news/local/states-first-marijuana-dispensary-opens/61011/,https://apnews.com/article/connecticut-business-6e411e4d2e7391452521503b3b6c0340,HB 5389 (2012); P.A. 12-55,SB 1201 (2021) (Responsible and Equitable Regulation of Adult-Use Cannabis Act),,,,,,
Delaware,2015,2025,7/1/11,6/26/15,4/23/23,8/1/25,https://mjbizdaily.com/news/delawares-first-dispensary-set-for-june-26-opening/38834/,https://news.delaware.gov/2025/08/01/delaware-launches-legal-adult-use-cannabis-sales-today/,SB 17 (2011); Delaware Medical Marijuana Act,House Bill 1 & House Bill 2 (2023),,,,,,
District of Columbia,2013,2015,1/1/11,7/29/13,2/26/15,2/26/15,https://www.washingtonpost.com/local/dc-politics/dc-records-its-first-legal-pot-deal-in-at-least-75-years/2013/07/29/17521b42-f889-11e2-b018-5b8251f0c56e_story.html,https://mpdc.dc.gov/marijuana,"D.C. Law 18-210 (2010), End of 30-day Congressional review.",Initiative 71 (2014) (Legalization of Personal Use of Marijuana Act),,,,,,
Florida,2016,-,3/25/16,7/26/16,-,-,https://ganjapreneur.com/floridas-first-dispensary-open-next-week/,-,"Expansion to full-strength THC for terminal patients., Amendment 2 (2016); Art. X, § 29, FL Const.",-,,,,,,
Georgia,-,-,-,-,-,-,-,-,-,-,,,,,,
Hawaii,2017,-,12/28/00,8/8/17,-,-,https://www.cbsnews.com/news/hawaii-first-medical-marijuana-dispensary-maui-grown-therapies/,-,SB 862 (2000); Act 228,-,,,,,,
Idaho,-,-,-,-,-,-,-,-,-,-,,,,,,
Illinois,2015,2020,1/1/14,11/9/15,1/1/20,1/1/20,https://www.cbsnews.com/chicago/news/illinois-begins-medical-marijuana-sales/,https://news.wttw.com/2020/01/02/illinois-sees-first-legal-sales-recreational-marijuana,HB 1 (2013); Compassionate Use of Medical Cannabis Act,HB 1438 (2019) (Cannabis Regulation and Tax Act),,,,,,
Indiana,-,-,-,-,-,-,-,-,-,-,,,,,,
Iowa,-,-,-,-,-,-,-,-,-,-,,,,,,
Kansas,-,-,-,-,-,-,-,-,-,-,,,,,,
Kentucky,2025,-,1/1/25,12/13/25,-,-,https://www.whas11.com/article/news/local/the-post-dispensary-closed-kentucky-medical-marijuana/417-88ac065f-f7c4-4c3a-bcaf-d8a6143bb995,-,SB 47 (2023); Kentucky Medical Cannabis Act,-,,,,,,
Louisiana,2019,-,5/19/16,8/6/19,-,-,https://www.prnewswire.com/news-releases/history-made-gb-sciences-louisiana-announces-medical-cannabis-products-now-for-sale-for-first-time-in-state-history-300896694.html,-,SB 271 (2016); Therapeutic Use of Marijuana,-,,,,,,
Maine,2011,2020,12/22/99,5/1/11,1/30/17,10/9/20,https://www.bangordailynews.com/2011/03/13/news/northeast-patients-group-sees-slight-delays-in-pot-clinic-openings/,https://www.cbsnews.com/boston/news/retail-sale-marijuana-maine-begin-on-october-9/,Question 2 (1999); Maine Medical Marijuana Act,Question 1 (2016); 28-B M.R.S.,,,,,,
Maryland,2017,2023,6/1/14,12/1/17,7/1/23,7/1/23,https://www.washingtonpost.com/local/md-politics/friday-appears-to-be-the-day-medical-marijuana-will-go-on-sale-in-maryland/2017/12/01/62d66dee-d605-11e7-95bf-df7c19270879_story.html,https://hightimes.com/news/licensed-recreational-weed-sales-launch-in-maryland-on-saturday/,HB 1101 (2014); Natalie M. LaPrade Medical Cannabis Commission,Question 4 (2022) / HB 837,,,,,,
Massachusetts,2015,2018,1/1/13,6/24/15,12/15/16,11/20/18,https://www.cbsnews.com/boston/news/states-first-medical-marijuana-dispensary-opens-in-salem/,https://www.cbsnews.com/news/massachusetts-recreational-marijuana-sales-begin-mayor-ceremonial-first-customer/,Question 3 (2012); Humanitarian Medical Use of Marijuana Act,Question 4 (2016); M.G.L. c.94G,,,,,,
Michigan,2018,2019,12/4/08,10/25/18,12/6/18,12/1/19,https://www.mlive.com/news/2018/10/medical_marijuana_industry_see.html,https://www.metrotimes.com/weed-2/why-its-fitting-that-michigans-first-legal-weed-shops-are-in-ann-arbor-23266003/,Proposal 1 (2008); Michigan Medical Marihuana Act,Proposal 1 (2018) (Michigan Regulation and Taxation of Marihuana Act),,,,,,
Minnesota,2015,2025,5/29/14,7/1/15,8/1/23,9/16/25,https://www.mprnews.org/story/2015/06/26/medical-marijuana,https://www.cbsnews.com/minnesota/news/minnesota-first-non-tribal-recreational-marijuana-dispensary-open/,SF 2471 (2014); Minnesota Medical Cannabis Act,HF 100 (2023); Minn. Stat. § 342,,,,,,
Mississippi,2023,-,2/2/22,1/25/23,-,-,https://apnews.com/article/health-mississippi-state-government-marijuana-c87db59063eb5cad4f8f147492da15ce,-,SB 2095 (2022); Mississippi Medical Cannabis Act,-,,,,,,
Missouri,2020,2023,12/6/18,10/17/20,12/8/22,2/3/23,https://health.mo.gov/news/newsitem/uuid/8699f112-4b15-4344-ac34-6aeaab664fdf/first-medical-marijuana-sales-to-patients-in-missouri-take-place-today,https://apnews.com/article/missouri-marijuana-3f735b5ecae3e9deb0808bb3f6f3a52b,Amendment 2 (2018); MO Const. Art. XIV,Amendment 3 (2022); Mo. Const. art. XIV,,,,,,
Montana,2018,2022,11/2/04,4/10/18,1/1/21,1/1/22,https://archive.legmt.gov/content/Committees/Interim/2017-2018/Children-Family/Committee-Topics/medical-marijuana-act/may2018-recent-developments.pdf,https://apnews.com/article/business-health-marijuana-recreational-marijuana-legislature-0dadec41a107e62c4e01a45633d02522,Initiative 148 (2004); Montana Medical Marijuana Act,Initiative 190 (2020); Mont. Code Ann. § 16-12,,,,,,
Nebraska,-,-,12/10/24,-,-,-,-,-,Initiative 437 (2024); Patient Protection Act,-,,,,,,
Nevada,2015,2017,10/1/01,7/31/15,1/1/17,7/1/17,https://www.reviewjournal.com/news/nevadas-first-medical-pot-dispensary-opens-in-sparks/,https://lasvegassun.com/news/2017/jul/01/here-for-the-history-recreational-marijuana-sales/,"Question 9 (2000); NV Const. Art. 4, § 38",Question 2 (2016); NRS 678D,,,,,,
New Hampshire,2016,-,7/23/13,4/30/16,-,-,https://www.cbsnews.com/boston/news/new-hampshire-medical-marijuana-plymouth/,-,HB 573 (2013); RSA 126-X,-,,,,,,
New Jersey,2012,2022,1/18/10,12/6/12,2/22/21,4/21/22,https://www.cbsnews.com/newyork/news/njs-1st-medical-marijuana-dispensary-open-in-montclair/,https://apnews.com/article/health-business-recreational-marijuana-new-jersey-medical-64f39d122b89acc70a0f161e82cb6128,SB 119 (2010); Compassionate Use Medical Marijuana Act,"AB 21 (2021) (New Jersey Cannabis Regulatory, Enforcement Assistance, and Marketplace Modernization Act)",,,,,,
New Mexico,2010,2022,7/1/07,1/1/10,6/29/21,4/1/22,https://www.mpp.org/issues/medical-marijuana/state-by-state-medical-marijuana-laws/medical-marijuana-program-implementation-timeline/,https://apnews.com/article/health-business-texas-new-mexico-marijuana-f786a646543955f1db4a9e51cee79e8c,SB 523 (2023); Lynn and Erin Compassionate Use Act,HB 2 (2021) (Cannabis Regulation Act),,,,,,
New York,2016,2022,7/5/14,1/7/16,3/31/21,12/29/22,https://www.health.ny.gov/press/releases/2016/2016-01-05_launch_of_medical_marijuana_program.htm,https://www.pbs.org/newshour/economy/new-york-opens-its-first-legal-recreational-marijuana-dispensary,A. 6357 (2014); Compassionate Care Act,SB 854/AB 1248A (2021) (Marijuana Regulation and Taxation Act - MRTA),,,,,,
North Carolina,-,-,-,-,-,-,-,-,-,-,,,,,,
North Dakota,2019,-,4/18/17,3/1/19,-,-,https://www.mprnews.org/story/2019/03/01/medical-marijuana-first-debut-in-north-dakota,-,"Measure 5 (2016); Compassionate Care Act, Signing of the regulatory implementation bill.",-,,,,,,
Ohio,2019,2024,9/8/16,1/16/19,12/7/23,8/7/24,https://www.wosu.org/news/2019-01-17/first-medical-marijuana-sold-in-ohio-as-dispensaries-open,https://mjbizdaily.com/news/ohio-adult-use-marijuana-sales-launch-gets-off-to-really-special-start/394059/,HB 523 (2016); Ohio Medical Marijuana Control Program,Issue 2 (2023); Ohio Rev. Code § 3780,,,,,,
Oklahoma,2018,-,6/26/18,9/26/18,-,-,https://www.news9.com/story/5e3486f4527dcf49dad78ac8/first-legal-oklahoma-medical-marijuana-plant-sold,-,State Question 788 (2018),-,,,,,,
Oregon,2014,2015,12/3/98,3/21/14,7/1/15,10/1/15,https://digitalcollections.library.oregon.gov/nodes/view/144382,https://time.com/4057453/oregon-marijuana-sales/,Measure 67 (1998); Oregon Medical Marijuana Act,Measure 91 (2014); ORS 475C,,,,,,
Pennsylvania,2018,-,5/17/16,2/15/18,-,-,https://www.cbsnews.com/pittsburgh/news/pennsylvania-first-legal-medical-marijuana-sale/,-,SB 3 (2016); Medical Marijuana Act,-,,,,,,
Rhode Island,2013,2022,1/3/06,4/19/13,5/25/22,12/1/22,https://www.golocalprov.com/news/ri-dept.-of-health-approves-first-medical-marijuana-dispensary,https://thepublicsradio.org/article/rhode-island-launches-legal-adult-use-sales-of-recrreational-cannabis/,SB 0710 (2006); Edward O. Hawkins and Thomas C. Slater Act,Rhode Island Cannabis Act (2022),,,,,,
South Carolina,-,-,-,-,-,-,-,-,-,-,,,,,,
South Dakota,2022,-,7/1/21,7/27/22,-,-,https://mjbizdaily.com/news/first-licensed-medical-marijuana-dispensary-begins-sales-in-south-dakota/332691/,-,Measure 26 (2020),-,,,,,,
Tennessee,-,-,-,-,-,-,-,-,-,-,,,,,,
Texas,-,-,9/1/25,-,-,-,-,-,HB 46 (2025); Expansion of Compassionate Use Program,-,,,,,,
Utah,2020,-,12/1/18,3/2/20,-,-,https://apnews.com/article/marijuana-salt-lake-city-us-news-ut-state-wire-medical-marijuana-c0a124c40b5213ea05e0a0a1da34f5cb,-,Proposition 2 (2018); Utah Medical Cannabis Act,-,,,,,,
Vermont,2013,2022,7/1/04,6/25/13,7/1/18,10/1/22,https://mjbizdaily.com/news/vermont-becomes-12th-state-with-medical-marijuana-dispensaries-creating-2-million-market/13607/,https://www.wamc.org/news/2022-09-30/legal-cannabis-sales-begin-this-weekend-in-vermont,SB 76 (2004); 18 V.S.A. Chapter 86,Act 86 (H.511) (2018); 7 V.S.A. § 861,,,,,,
Virginia,2020,2027,7/1/20,10/17/20,7/1/21,7/1/27,https://apnews.com/general-news-f37827afad29e92b85c81bce7a0ad227,https://www.wsls.com/news/virginia/2026/06/30/virginia-to-allow-recreational-marijuana-to-be-sold-in-retail-stores-beginning-in-2027/,HB 1251 (2018) / SB 2 (2020 expansion),HB 2312 & SB 1406 (2021),,,,,,
Washington,2014,2014,11/3/98,7/8/14,12/6/12,7/8/14,https://www.cbsnews.com/pictures/recreational-pot-dispensaries-open-in-washington/,https://www.cbsnews.com/pictures/recreational-pot-dispensaries-open-in-washington/,Initiative 692 (1998); RCW 69.51A,Initiative 502 (2012); RCW 69.50,,,,,,
West Virginia,2021,.,7/1/19,11/12/21,-,-,https://apnews.com/article/wv-state-wire-trulieve-cannabis-corp-morgantown-west-virginia-marijuana-7a52126a3a918571bff0c84f950936cf,-,"SB 386 (2017); West Virginia Medical Cannabis Act, Statutory deadline to begin patient registration.",-,,,,,,
Wisconsin,-,-,-,-,-,-,-,-,-,-,,,,,,
Wyoming,-,-,-,-,-,-,-,-,-,-,,,,,,