Variable Description,Description
state,Name of State
medical,First year of legal medical retail sale
recreational,First year legal adult-use retail sale
mml_effect,Date of medical cannabis policy in effect
mml_retail,Date of first legal medical retail sale
rml_effect,Date of adult-use cannabis policy in effect
rml_retail,Date of fist legal adult-use retail sale
mml_retail_cite,Citation of first medical retail date
rml_retail_cite,Citation of first adult-use retail date
mml_cite_act,Act/bill/policy legalizing medical cannabis use
rml_cite_act,Act/bill/policy legalizign adult-use cannabis use